correct	wrong
آمدیم	آ!دبم
آن	آر
آرژانتین	آرزاض
آمدیم	آمد! م
آمیرزا	أ!لبرزا
آب	أب
آید	أبد
آخر	أخر
آداب	أداب
آدم	أدم
آسانی	أسانى
آشتی	أشلنى
آمار	أمار
آمد	أمد
آمده	أمد.
آمدند	أمدذ
آمده	أمده
آموزش	أمو زش
آموزش	أموزش
آمیرزا	أميررا
آن	أن
آنها	أنها
آورد	أورد
آورده	أورده
تا	ئا
تجار	ئبار
تخت	ئخث
تعداد	ئعداد
تقریباً	ئفرپط
کتابهای	ئمالهاى
تعداد	ئمداد
تو	ئو
توانند	ئوانند
تولیدی	ئوللاى
اندازه	ا د ا ز
ایم	ا لم
ایتالیا	ابالا
آبش	ابس
این	ابلى
ایم	ابم
این	ابن
افزار	اثزار
اجازه	احازه
اخبار	اخار
آخوندها	اخوورها
اند	اد
انداخت	ادات
آدم	ادم
آن	ار
از	ار
ارزید	ارزب
ازین	ارين
اش	اس
استفاده	اس!ثاده
استخراج	استخرا
استخراج	استخرابم
استفاده	استناده
استفاده	اسدكاده
اسمش	اسصس
استفاده	اسلثاده
استفاده	اسنئاده
استخراج	اشخرابم
است	اص
اعیان	اعان
آقا	افا
اگر	اكر
البته	ال!ته
اهل	الا
الان	الاد
اتاق	الاق
این	الب
این	البئ
این	البن
است	الت
انتخاب	التخالي
اش	الث!
انتخاب	الخاب
انداختند	الداحند
اندوخته	الدوحته
افراد	الراد
افزار	الز!ار
اسب	السب
اسم	السم
انجام	العام
اتفاق	الماق
استفاده	المح!لثاده
اساس	المحا
گذاشته	المه
این	الن
این	الهن
شام	ام
آمیرزا	امبررا
امکان	امثان
آمد	امد
آمیرزا	املررا
آموزش	اموزش
آمیرزا	اميررا
آمیرزا	اميرزا
آن	ان
اتاق	انا!
انبارخانه	انارخاله
اتاق	اناق
انتخابي	انتخالي
انداختند	انداحلذ
افرادی	انرادى
انگشت	انكشت
این	او
است	اور
اولین	اولب!
اسدلله	اووالله
اين	ايبن
این	اير
است	ايست
این	اپن
جدا	ب ا
بعد	ب!
یک	ب!
بعد	ب!د
بشود	ب!ود
باباشان	بابالئان
یادتان	بادنان
بازار	باز ار
باغچه	باعحه
باشند	باف!ند
باعث	بامث
باشد	باور
ببینیم	ببنبم
بچه	ببه
بخوابانندش	بحوابانندس
یاد	بد
بند	بذ
برای	برأ!ها
براش	برا!
برای	برا!هما
برایش	برابئر
بردند	بردذ
بزرگ	برر!
بزرگان	برركار
بزرگی	برركي
برسانندش	برساووس
برنمی	برلمي
برنج	برنح
برویي	بروبي
بزرگ	بزرف
بزنند	بزلند
بساطش	بساطثلى
بیش	بش
بغل	بعل
بگویم	بكوبم
بگویم	بكولبم
بگومگوها	بكومكوها
یکی	بكي
بیل	بل
باشند	بلأسند
بنویس	بلويس
نماییم	بم نما*
ی	بم!
بنویسد	بنويهـمذ
بهشان	بهسا!
بهش	بهملى
بودند	بودد
بودند	بودذ
بودند	بودف
بودند	بودلد
بودند	بودور
بیانگر	بيالكر
بیش	بيث!
بچه	بپه
گشت	ت
تا	تا!
تابستان	تاشا!
تعداد	تحداد
تحصیلات	تحصيحت
تعیین	تد!
قدس	تدس
تربت	ترت
تخصصی	تغصصى
تعداد	تمداد
تنگ	تن!
توی	تو!
توی	تو!ما
تیراژ	تواژ
توانیم	تولألم
شکمی	ث! كص
پشت	ث!ت
تیراژ	ث!لى اژ
گاهی	ثاهى
گاهی	ثاهي
قدم	ثدم
گند	ثذ
قرار	ثرار
گرداند	ثرداند
شرع	ثرع
گرفت	ثرفت
گرفته	ثرفته
پریشان	ثريسا!؟
قلم	ثلم
گلی	ثلى
چه	ثه
قوت	ثوت
توی	ثوى
چار	جار
جوری	جرر!
جفت	جص
جفت	جعت
چشم	ح!مم
خاک	حا!
خلاصه	حا، صه
چاروخ	حاروخ
خانه	حاله
خام	حام
جان	حان
خانواده	حانواده
جای	حاى
چیده	حب ه
چینی	حب!ى
خبر	حبر
چشمی	حثممي
خندد	حدد
چندان	حذا!
حرف	حر!
خرت	حر!
چرا	حرا
جرأت	حراف
خبردار	حردا
جزو	حرو
خط	حط
خیابان	حط ط د
حیف	حف
حلهای	حلهاس
جلوی	حلوى
خیلی	حلي
حمید	حم!د
حمیده	حمده
حفظ	حمط
خصوص	حمموص
چه	حمه
چه	حه
خواب	حوا!
خواستند	حواستند
خوب	حوب
خودش	حودل!
جور	حور
خورت	حورت
خوش	حوش
چون	حون
چي	حي
خانه	خاله
خبری	خبر!ب
خوب	خر
